Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,20,0,110.0,166.42746100000636,99.09563299999036,1059.9452100000235,509.0,0.5168570206304965,0.0,110,120,140,150,220,1100,1100,1100,1100,1100,1100
,Aggregated,20,0,110.0,166.42746100000636,99.09563299999036,1059.9452100000235,509.0,0.5168570206304965,0.0,110,120,140,150,220,1100,1100,1100,1100,1100,1100
